Gene names,2012 Campbell Latex Early
1700071K01Rik,-12.2
4930544G11Rik,1.6
5330429B09Rik,1.5
Aacs,-13.1
Aars,-11.1
Abcc1,1.7
Abce1,-20.6
Abcf1,-20
Abcf2,-16.7
Abhd11,-7.9
Abhd12,-28.9
Acaa1a,-3.6
Acaa1b,-4.7
Acaca,4.8
Acadl,-41.1
Acadm,-17.2
Acat1,-26.5
Acat2,-7.6
Acly,-26.5
Aco2,-20.4
Acot2,-9
Acp2,8.8
Acsl1,-4.3
Acsl3,-3.8
Acsl4,-6.9
Acsl5,-1.9
Acta1,-1.2
Actb,-1.8
Actbl2,-4.1
Actg1,-1.8
Actn1,-5.3
Actn2,1.5
Actn3,-1.4
Actn4,-3.5
Actr1a,-5.9
Actr2,1.2
Actr3,-1.2
Actr3b,1.4
Acy1,1.8
Adam10,1.6
Adam15,2.6
Adam17,-6
Adam8,6.5
Adpgk,-2.1
Adsl,-5.8
Adss,-17.3
Afg3l1,-21.4
Afg3l2,-11.5
Agfg1,1
Agfg2,6
Agps,-2.3
Ahcy,-23.7
Ahnak,6
Ahsa1,-8.6
Ahsg,19.1
Aifm1,-17.5
Aimp1,-25.1
Aimp2,-12.9
Aip,-17.5
Ak2,-12.5
Akr1a1,-4.3
Akr1b1,-1.4
Akr1b8,1.8
Alb,19.9
Alcam,1.5
Aldh16a1,2
Aldh18a1,-43.1
Aldh1a7,1.2
Aldh2,-21.3
Aldh3b1,5.1
Aldh9a1,-13
Aldoa,-2.8
Aldoart2,-3.2
Aldoc,-3.8
Alyref,1.1
Ampd2,-13.7
Ankfy1,5.4
Ankrd46,29.8
Anks4b,-2.2
Anp32a,-4.9
Anp32b,-9.7
Anp32c,2.6
Anp32e,-28.3
Anpep,5
Anxa1,1.2
Anxa11,1.4
Anxa2,1.6
Anxa3,4.1
Anxa5,1.2
Ap1ar,8.4
Ap1g1,-5.4
Ap1m1,-9.9
Ap2a1,1.4
Ap2a2,1.5
Ap2b1,2.7
Apbb1ip,-2.8
Apex1,-19.7
Aplp2,13.4
Apmap,-5.4
App,11.8
Arcn1,-48.6
Arf1,2.9
Arf2,1.2
Arf4,1.8
Arf6,-4.4
Arhgap25,4.5
Arhgdia,-1.2
Arhgdib,-4.7
Arhgef1,-10.3
Arhgef2,-20
Arl15,2.8
Arl8a,2
Arl8b,-2.4
Armc10,-15
