Gene names,2012 Goyette Latex Early
Aaas,0
Abcb1b,31.67
Abcb6,2.67
Abcc1,12.33
Abcc3,2.67
Abhd12,2.66
Abhd17b,2
Acaa1a,9.33
Acad9,0.67
Acat1,2.33
Aco2,7.33
Acsl4,31
Acsl5,3.67
Actb,85.33
Actn4,1.67
Actr2,2
Actr3,4.33
Adam10,1
Adam15,1
Adpgk,2
Agfg1,0
Agps,2
Ahnak,14
Ak2,4.33
Alb,44
Alcam,21.34
Aldh2,6.33
Aldh3b1,1.34
Aldoa,1.67
Alyref,4
Ankfy1,0
Ano6,2.67
Anpep,5.67
Anxa1,15
Anxa11,1
Anxa2,42.33
Anxa3,0.67
Anxa4,5.33
Anxa5,22
Ap1b1,1.67
Ap2a1,1.33
Ap2a2,2.33
Ap2b1,15
Ap2m1,0.67
Apex1,0
Api5,3.67
Apmap,1.67
App,0
Arf1,6
Arf6,2.67
Arhgdia,4
Arhgdib,0.33
Arhgef2,11.33
Arl1,0.67
Arl6,0
Arl6ip1,0
Arl8b,8.33
Arpc2,3
Arpc3,0
Arpc4,2.33
Arpc5,0
Arpc5l,0
Arsb,0.67
Asah1,3.33
Asph,2
Atad1,1.33
Atl3,1
Atp1a1,221.67
Atp1a3,49.67
Atp1b3,29.33
Atp2a2,12.67
Atp2b1,11.33
Atp5a1,40.67
Atp5b,78.33
Atp5c1,4.33
Atp5d,2
Atp5f1,0
Atp5h,3.67
Atp5i,2.33
Atp5l,1.67
Atp5o,10.33
Atp6ap1,0.33
Atp6ap2,9.67
Atp6v0a1,0
Atp6v0d1,4.67
Atp6v1a,12.34
Atp6v1b2,5.33
Atp6v1c1,1.67
Atp6v1d,0.33
Atp6v1e1,10.66
Atp6v1f,1
Atp6v1g1,4
Atp6v1h,1
B2m,4.33
Bak1,2
Baz1a,0
Bcas2,1.67
Bcl2l1,2.67
Becn1,0
Bri3bp,0.66
Brox,1.33
Bsg,22.67
Btf3,7.67
Bub3,1.33
C1qbp,18.67
Cadm1,17.34
Calhm2,2.33
Calm1,0.67
Calr,7.33
Canx,37.33
Cap1,3.66
Capg,4.67
Capns1,3
Caprin1,19.33
Capza1,0.67
Capza2,1
Capzb,2.67
Cbx3,0
Ccdc115,1.67
Cct3,3.67
Cct5,1
Cct7,0
CD14,8
Cd180,44
Cd44,27.67
Cd5,35.33
Cd68,1.67
Cd74,3
Cd9,14.66
Cdc42,8.66
Cdipt,0
Cdk1,1
Cdk2ap1,2
Celf2,2.33
Cfl1,21
Chchd2,1.33
Chd4,7
Chmp3,0
Chmp4b,0.33
Chmp5,0.67
Cisd2,2.66
Ckap4,1.33
Ckap5,2.33
Clec10a,1
Clic1,0.33
Clic4,2.33
Clint1,0
Cltc,0.33
Cnbp,0.67
Colec12,0.67
Colgalt1,1
Comtd1,5.33
Coro1a,4.67
Cotl1,1.67
Cox4i1,4
Cox5a,3.67
Creg1,1.33
Cs,7.67
Csf1r,11.67
Cst3,9.33
Cstf2,3
Cstf3,2
Ctnnd1,1.67
Ctsa,6
Ctsb,12.33
Ctsc,1
Ctsd,24
Ctsl,0.67
Ctss,1
Ctsz,3.33
Cyb5a,5.67
Cyb5b,9.67
Cyb5r1,2.67
Cyb5r3,8.66
Cybb,50.66
Cyc1,1.33
Cycs,1.67
Cyp51a1,0
D17H6S56E-5,1
Dapp1,0
Dcakd,1.67
Ddost,7
Ddx1,1.33
Ddx18,0
Ddx21,0.67
Ddx39b,1
Ddx3x,26
Ddx42,7.33
Ddx5,32.33
Dhx9,11.67
Dlat,1.67
Dld,1.33
Dnaja1,2.33
Dnaja2,2.33
Dnajc3,0.67
Dnajc5,0.67
Dnm2,1.33
Dnmt1,3.67
Dock10,0
Dock2,1
Dpp7,0
Dpy30,0.67
Dynll1,1.33
Ece1,0
Echs1,1.67
Eci1,2.33
Eea1,0.67
Eef1a1,85
Eef1b,5
Eef1d,2
Eef1g,5
Eef2,6
Efhd2,0.33
Efr3a,0
Eftud2,1.33
Ehd1,0
Ehd4,1.33
Eif1,1.67
Eif2s1,0.33
Eif3e,1
Eif4a1,1
Eif4a3,9.33
Eif4b,2.33
Eif4g1,12
Eif4g2,11.33
Eif4h,4
