Gene names,2012 Goyette Latex Late
Aaas,0
Abcb1b,4.33
Abcb6,4
Abcc1,0
Abcc3,0
Abhd12,1.33
Abhd17b,0
Acaa1a,4
Acad9,0
Acat1,0
Aco2,0
Acsl4,6
Acsl5,0
Actb,153
Actn4,0
Actr2,0
Actr3,5.33
Adam10,0
Adam15,0.67
Adpgk,0
Agfg1,2
Agps,0
Ahnak,0
Ak2,0.33
Alb,40.33
Alcam,2.67
Aldh2,0.33
Aldh3b1,1.33
Aldoa,1.33
Alyref,0
Ankfy1,2.67
Ano6,0
Anpep,3
Anxa1,3.33
Anxa11,1.67
Anxa2,79
Anxa3,1.33
Anxa4,0
Anxa5,35
Ap1b1,0
Ap2a1,0
Ap2a2,0
Ap2b1,0.66
Ap2m1,0
Apex1,0
Api5,0
Apmap,0
App,2.33
Arf1,40.67
Arf6,12.33
Arhgdia,0
Arhgdib,0
Arhgef2,0
Arl1,0.67
Arl6,0
Arl6ip1,0
Arl8b,6
Arpc2,0
Arpc3,2
Arpc4,0
Arpc5,4.67
Arpc5l,1.67
Arsb,1
Asah1,48.33
Asph,0.33
Atad1,0
Atl3,0
Atp1a1,23.33
Atp1a3,0
Atp1b3,18.66
Atp2a2,0
Atp2b1,0
Atp5a1,8
Atp5b,32.33
Atp5c1,0
Atp5d,1
Atp5f1,0.67
Atp5h,1
Atp5i,0
Atp5l,0.67
Atp5o,3
Atp6ap1,4.33
Atp6ap2,1.34
Atp6v0a1,4.33
Atp6v0d1,21.33
Atp6v1a,31
Atp6v1b2,39
Atp6v1c1,18.33
Atp6v1d,5.33
Atp6v1e1,44.67
Atp6v1f,5
Atp6v1g1,27
Atp6v1h,12.66
B2m,11.67
Bak1,0
Baz1a,0
Bcas2,0
Bcl2l1,0
Becn1,0
Bri3bp,0.33
Brox,0.33
Bsg,16.67
Btf3,0
Bub3,0
C1qbp,2
Cadm1,6.33
Calhm2,0
Calm1,0.66
Calr,5.33
Canx,9
Cap1,12.33
Capg,2
Capns1,0.67
Caprin1,8
Capza1,1
Capza2,1.34
Capzb,0.67
Cbx3,0
Ccdc115,0.33
Cct3,0
Cct5,0
Cct7,0.33
CD14,52.66
Cd180,50.67
Cd44,24.33
Cd5,12
Cd68,13.34
Cd74,21
Cd9,1.67
Cdc42,6.33
Cdipt,0
Cdk1,0
Cdk2ap1,0
Celf2,0
Cfl1,54
Chchd2,0
Chd4,0
