Gene names,2015 Dill Calreticulin Early
Septin-2,1.134743303
Septin-7,1.061410019
Septin-8,0.938043307
Septin-9,1.094233309
Septin-11,1.0717533
15 kDa selenoprotein,0
0610031J06Rik,0.876330003
1700112E06Rik,0.588273287
2310022A10Rik,0.465696661
2410018M08Rik;Chchd2,0
2810422J05Rik;Uba52;Ubc;Ubb,0.874096668
4632428N05Rik,1.451633327
4732456N10Rik,0
5031439G07Rik,0.870453335
9030624J02Rik,0.790636655
Aak1,0.712633322
Abca3,0.734810004
Abcb11,0.49501664
Abcb1b,1.735000072
Abcb6,0.733333325
Abcc1,1.782099926
Abcc3,0
Abcd1,0.768980014
Abcd3,0.843700009
Abcd4,0.463203329
Abcf2,0.312859993
Abhd12,0.671313347
Abi1,1.090599982
Abr,0.887713325
Acaa1a;Acaa1b,0.880743338
Acaa2,0.629733285
Acadl,0.728819982
Acadm,0.632303334
Acads,0.843063325
Acadvl,0
Acap2,1.540333346
Acat1,0.848519985
Acbd3,0
Aco2,0.77716
Acot13,0.618436683
Acox3,0.885669976
Acp2,0.687823356
Acp5,0
Acsl1,0.23992668
Acsl4,1.139200002
Acsl5,0.837039993
Actc1;Acta1;Acta2;Actg2,1.809266649
Actn1,0.28246666
Actn4,0.924446653
Actr1a;Actr1b,0.543033347
Actr2,1.725299977
Actr3,1.525200013
Adam10,1.219666691
Adam17,1.321300015
Adam8,1.404333332
Adam9,1.242533337
Adcy7,1.338866681
Aga,0.969113345
Agfg1,1.403266669
Agfg2,1.51119997
Agps,0.930813324
Agtrap,0.736523325
Ahnak,1.640766645
Ahnak2,1.152046679
Ahnak2F7CVJ5,1.11283334
Ahnak2E9PYB0,1.12616667
Ahsa1,1.182903036
AI607873,0.322950005
Aif1,0
Aifm1,0.442200013
Aifm2,1.09996666
Akap10,0.237080005
Akr1a1,1.0221333
Akr1b1;Akr1b3,0.74639998
Alcam,1.693133356
Aldh2,0.70906333
Aldh3a2,0.976553335
Aldh3b1,1.255033306
Aldh9a1,0
Aldoa;Aldoart1,1.262633313
Alg2,0
Alg5,0.518599996
Alox5,0.969360001
Alox5ap,0.787123352
Alyref;Alyref2;Refbp2,0.829766658
Ankfy1,1.058919981
Ankh,1.045549975
Anln,0.544966631
Ano6,0.499699992
Anp32b,0.666496674
Anpep,1.507366615
Antxr2,0.438500016
Anxa1,1.365133324
Anxa11,2.796999869
Anxa2,1.210700008
Anxa3,2.576033144
Anxa4,2.024800211
Anxa5,2.483533256
Anxa6,1.222723323
Anxa6P14824,1.637170031
Anxa7,2.192166867
Aoah,0.497503345
Ap1b1,1.093376691
Ap1g1,0.68607668
Ap1g2,0.379633339
Ap1m1,0.916923334
Ap1s1,0.88614668
Ap1s2,0.96357331
Ap2a1,1.639433592
Ap2a2,1.628533193
Ap2b1,1.462366626
Ap2m1,1.347166696
Ap2s1,1.67370025
Ap3b1,0.72309666
Ap3d1,0.565843362
Ap3m1,0.709039981
Ap3s1,0.644830009
Ap3s2,0
Aph1a,0.587333332
Apmap,0.540186665
Apoa1bp,0.236466661
Apob,0.912546678
Apobr,1.047696669
Apoe,0.602836729
App,1.100576677
Apr3;0610007C21Rik,0.450069993
Araf,1.275666663
Arap1,1.088166672
Arf3;Arf1,2.110473499
Arf5,0.881690011
Arf6,0.946466689
Arfgap1,0.355366667
Arfgap2,1.252233355
Arfgap3,0.882566651
Arfip1,0
Arfrp1,0.715743347
Arhgap1,0.545983329
Arhgap17,1.115126672
Arhgap22,0.698983356
Arhgap25,0.991449988
Arhgap30,0.431199975
Arhgap4,0
Arhgap9,0
Arhgdia,0.965186641
Arhgdib,1.376986569
Arhgef1,1.005563295
Arhgef10l,0.658366661
Arhgef2,1.083733346
Arhgef7,0.605993303
Arl1,1.397866716
Arl4c,0.957889984
Arl6ip5,0.937299984
Arl8a,0.598146654
Arl8b,0.889140003
Armc10,0
Arpc1b,1.608200054
Arpc2,1.493400015
Arpc3,1.742699986
Arpc4,1.543399986
Arpc5,1.409033312
Arpp19,0.663436676
Arrb2,0.977860025
Arsa,0.839380008
Arsb,0.868933339
Arsk,0.876330004
Asah1,0.627736675
Asah2,0.878143319
Asph,0.877506674
Ass1,1.118533109
Atad1,0
Atl3,0.943346667
Atp11a,0.885326676
Atp11c,1.358166656
Atp13a2,0.677139987
Atp1a1,2.07296653
Atp1a3,1.687300006
Atp1b3,1.904800089
Atp2a2,0.756549991
Atp2a3,0
Atp2b1,1.835133536
Atp2b3,1.287133462
Atp5a1,0.799923335
Atp5b,0.778469999
Atp5c1,0.927649992
Atp5d,0.59036666
Atp5f1,0.726569972
Atp5h;Gm10250,0.693876656
Atp5i;Atp5k,0.562823322
Atp5j,0.774300012
Atp5j2,0.193780002
Atp5l;Atp5l-ps1,0.607200004
Atp5o,0.77532334
Atp6ap1,0.631913354
Atp6ap2,0.685289993
Atp6v0a1,1.08233334
Atp6v0c,0.667239999
Atp6v0d1,0.648123337
Atp6v0d2,1.318706589
Atp6v1a,0.964043359
Atp6v1b2,0.918660016
Atp6v1c1,0.803063345
Atp6v1d,0.862960002
Atp6v1e1,0.9734433
Atp6v1f,0.677810009
Atp6v1g1,0.829816655
Atp6v1h,0.824410014
Atp8a1,0.798796657
Atp9b,1.171876692
Atpif1,0.741893344
Atrn,1.143173335
Atxn2l,0.447933322
Aup1,0.415699984
B2m,1.514466676
B4galnt1,1.028810023
B4galt1,0.97791667
Bag3,0.97803333
Bak1,0.245100002
Banf1,0.85440332
Basp1,0.860023335
Bax,0.780193299
BC017647,0.816330007
Bcap31,0.806146659
Bcat2,0
Bcl7b,0.634776655
Bclaf1,0.286543326
Becn1,1.110356714
Bin1,0.357303345
Bin2,0.872493318
Birc6,0.780600071
Blmh,0.761730009
Blnk,1.15447
Bloc1s1,0.558923308
Blvrb,1.141796663
Bmp2k,0.706826694
Bola1,0
Bphl,0.235863323
Bri3,0.574839959
Bst1,0.486966657
Bst2,2.076500017
Btd,0
Btf3,0.823033327
C1qa,0.299863348
C1qb,1.269513331
C1qbp,0.59788667
C1qc,1.17006667
C3,0.197116671
C3ar1,1.433800323
C5ar1,1.297766656
Cab39,0
Cacybp,0
Cadm1,1.425733289
Calm1;Calml3,0.680273328
Calr,0.741763332
Calu,0.615013291
Camk2d,1.152303334
Canx,0.655503285
Cap1,1.206333342
Capg,1.346766668
Capn1,1.274200006
Capn2,1.212750002
Capn5,0.863833342
Capns1,0.996996693
Caprin1,1.308200034
Capza1,0.955666685
Capza2,1.052776678
Capzb,1.084100006
Cast,1.056689969
Cat,0.815839968
Cbl,1.15383336
Cbr2,0
Cbx3,0
Cc2d1b,0.565793312
Ccdc115,1.507300046
Ccdc12,0.320636671
Ccdc22,0.978039989
Ccdc50,0.529793327
Ccdc53,0.408433328
Ccdc75,0.95563334
Ccdc88b,0
Ccdc93,0.91108334
Cct2,0.355033319
Cct3,1.184733376
Cct4,1.064796654
Cct5,1.11003002
Cct6a,1.181833296
Cct7,0.559033358
Cct8,0.866000012
Ccz1,0.801913325
Cd14,2.035599975
Cd151,1.171143353
Cd180,0.724313343
Cd1d1;Cd1d2,0.832876666
Cd200r1,1.01580002
Cd2ap,0.446099983
Cd300a,1.942333658
Cd300lh;OTTMUSG00000003606,1.38616662
Cd36,1.154233325
Cd44,2.332400169
Cd47,1.589966687
Cd48,1.488099969
Cd5l,1.080096627
Cd63,0.49303669
Cd68,0.670779993
Cd72,1.609399976
Cd74,0.958940005
Cd81,0.988416658
Cd82,1.166433329
Cd84,2.097400246
Cd9,1.176216645
Cd93,1.943433138
Cdc42,1.25143333
Cdc42bpb,0
Cdc42ep4,1.000043333
Cdca3,1.600666645
Cdipt,0.652666637
Cdk1,1.45531024
Cdk14,0
Cdk18,1.102026632
Cdk2;Cdk3,0.250746662
Cdk5,0.962740041
Cdkn1b,0
Cds2,0.275026664
Cenpe,0
Cep41;Tsga14,0.629066657
Cep55,0.86910666
Cers2;Lass2,0.28675668
Cfl1,1.614166674
Cfp,0
Chchd3,0.669543321
Chd4,0.155516709
Chd6,0.267976668
Chi3l3,0.617303325
Chi3l4,0
Chmp1a,1.041136694
Chmp2a,0.985713328
Chmp2b,1.092460017
Chmp4b,0.89589333
Chmp5,0.690119975
Chmp6,1.133739987
Cisd1,0.259946656
Cisd2,0.677123331
Ckap4,2.300167042
Ckap5,1.263826634
Ckb,1.014319992
Clcn5,1.230966693
Clcn6,0
Clcn7,0.916026663
Clec10a;Mgl1;Mgl2,1.969699815
Clec12a,1.849133589
Clec4e,0
Clic1,0.474476666
Clint1,1.257536686
Cln3,0.937109979
Cln5,0.62723667
Clptm1,0.813763309
Clrn2,0.661463339
Clta,0.914673343
Cltc,0.801280011
Cmtm6,1.310589995
Cndp2,1.123966627
Cnn2,1.020710028
Cnot4,0
Cnp,1.059679987
Cnpy2,0
Cnpy3,0.325179982
Cnpy4,1.695183227
