Gene names,2015 Dill Complement Early
Septin-2,1.036073326
Septin-7,1.033166687
Septin-8,0.9918567
Septin-9,1.000243344
Septin-11,1.051193348
15 kDa selenoprotein,0
0610031J06Rik,0.853693304
1700112E06Rik,0.760573331
2310022A10Rik,0.662249978
2410018M08Rik;Chchd2,0
2810422J05Rik;Uba52;Ubc;Ubb,0.776019996
4632428N05Rik,1.373999979
4732456N10Rik,1.368800148
5031439G07Rik,0.819529993
9030624J02Rik,0.868030009
Aak1,0.694066675
Abca3,0.757266667
Abcb11,0.515560009
Abcb1b,1.765500044
Abcb6,0.696130008
Abcc1,1.579633309
Abcc3,0
Abcd1,0.932090001
Abcd3,0.560093346
Abcd4,0.910883328
Abcf2,0.826000036
Abhd12,0.986453316
Abi1,1.062493346
Abr,1.364866694
Acaa1a;Acaa1b,1.074473344
Acaa2,0.875446654
Acadl,0.962846672
Acadm,0.602583342
Acads,1.070730021
Acadvl,0.362666678
Acap2,1.429766679
Acat1,0.962073319
Acbd3,0
Aco2,0.940190017
Acot13,0.303386669
Acox3,0.988599994
Acp2,0.650153328
Acp5,0.294009994
Acsl1,0
Acsl4,1.176899997
Acsl5,0.726059962
Actc1;Acta1;Acta2;Actg2,1.379133302
Actn1,0.648409983
Actn4,0.890639995
Actr1a;Actr1b,0
Actr2,1.389633328
Actr3,1.300433337
Adam10,1.153933314
Adam17,1.1499
Adam8,1.277430013
Adam9,1.422666617
Adcy7,1.269366658
Aga,0.927440033
Agfg1,0.841100033
Agfg2,1.702933305
Agps,0.829170007
Agtrap,0.42974333
Ahnak,1.500266644
Ahnak2,0.959336655
Ahnak2F7CVJ5,1.137616667
Ahnak2E9PYB0,1.014409996
Ahsa1,0.722200002
AI607873,1.247373334
Aif1,0
Aifm1,0.976026653
Aifm2,1.149566691
Akap10,0.707999993
Akr1a1,0.752833357
Akr1b1;Akr1b3,0.266916667
Alcam,1.669866643
Aldh2,0.808873336
Aldh3a2,1.013993324
Aldh3b1,1.153866659
Aldh9a1,0.620863337
Aldoa;Aldoart1,1.145666695
Alg2,0
Alg5,0
Alox5,0.87223998
Alox5ap,0.665563311
Alyref;Alyref2;Refbp2,0.475466664
Ankfy1,0.991290019
Ankh,0.672026654
Anln,0.421999999
Ano6,0.366733357
Anp32b,1.178300078
Anpep,1.468566646
Antxr2,0.575333308
Anxa1,1.113696711
Anxa11,1.555366663
Anxa2,1.004209979
Anxa3,1.482586909
Anxa4,1.435933332
Anxa5,1.477246759
Anxa6,1.952000195
Anxa6P14824,1.400233377
Anxa7,1.29350025
Aoah,0.476606689
Ap1b1,1.008816641
Ap1g1,0.769200012
Ap1g2,0
Ap1m1,0.837463342
Ap1s1,0.879113341
Ap1s2,0.903776679
Ap2a1,1.474899942
Ap2a2,1.464599934
Ap2b1,1.303666694
Ap2m1,1.520333357
Ap2s1,1.379799974
Ap3b1,0.769130011
Ap3d1,0.709549995
Ap3m1,0.683686684
Ap3s1,0.618366691
Ap3s2,0
Aph1a,0.554549996
Apmap,0.604953334
Apoa1bp,0
Apob,0.834446655
Apobr,1.068953341
Apoe,0.644306676
App,1.163833311
Apr3;0610007C21Rik,0.240186671
Araf,1.293000046
Arap1,1.001359997
Arf3;Arf1,1.287333316
Arf5,0.344040024
Arf6,1.107366646
Arfgap1,0
Arfgap2,1.206399997
