Gene names,2015 Dill IgG Early
Septin-2,0.844206662
Septin-7,0.791286652
Septin-8,0.727093332
Septin-9,0.819433327
Septin-11,0.870866683
15 kDa selenoprotein,0
0610031J06Rik,0.648776676
1700112E06Rik,0.471206704
2310022A10Rik,0.235949987
2410018M08Rik;Chchd2,0
2810422J05Rik;Uba52;Ubc;Ubb,0.819470011
4632428N05Rik,1.759166675
4732456N10Rik,0.52659999
5031439G07Rik,0.841549976
9030624J02Rik,0.762813319
Aak1,0.825833299
Abca3,0.59095
Abcb11,0.37680668
Abcb1b,2.512999608
Abcb6,0.534726708
Abcc1,2.450633425
Abcc3,1.114133304
Abcd1,0.718219984
Abcd3,0.990436676
Abcd4,0.577746707
Abcf2,0.924733349
Abhd12,0.938993322
Abi1,1.300759991
Abr,0.917036627
Acaa1a;Acaa1b,0.886590006
Acaa2,0.748593298
Acadl,0.77102
Acadm,0.609070014
Acads,1.064916677
Acadvl,0.245476666
Acap2,1.061166686
Acat1,0.956740008
Acbd3,0
Aco2,0.943976637
Acot13,0.411333306
Acox3,0.852039982
Acp2,0.409413291
Acp5,0
Acsl1,0
Acsl4,1.278266712
Acsl5,0.800433327
Actc1;Acta1;Acta2;Actg2,1.972266637
Actn1,0.541876622
Actn4,0.973436657
Actr1a;Actr1b,0
Actr2,1.337666688
Actr3,1.226966652
Adam10,1.39546664
Adam17,1.255196666
Adam8,1.44886664
Adam9,1.345340019
Adcy7,2.018466774
Aga,0.690333327
Agfg1,0.842633333
Agfg2,1.486733352
Agps,0.786463332
Agtrap,0.488566596
Ahnak,2.059833393
Ahnak2,0.6431333
Ahnak2F7CVJ5,0.998569986
Ahnak2E9PYB0,0.814300002
Ahsa1,0.315373341
AI607873,1.663166616
Aif1,0
Aifm1,0.598686688
Aifm2,1.147266646
Akap10,0.93672668
Akr1a1,1.101646595
Akr1b1;Akr1b3,0.820999977
Alcam,2.429800069
Aldh2,0.794270007
Aldh3a2,0.715533363
Aldh3b1,1.374700016
Aldh9a1,0
Aldoa;Aldoart1,1.015916671
Alg2,0.584760015
Alg5,0
Alox5,0.915056661
Alox5ap,0.580479966
Alyref;Alyref2;Refbp2,1.303367114
Ankfy1,1.057233338
Ankh,1.13750665
Anln,0.738666727
Ano6,1.917133421
Anp32b,2.606299873
