Gene names,2015 Dill LPS Early
Septin-2,1.131663344
Septin-7,1.018096673
Septin-8,0.982466689
Septin-9,0.996830009
Septin-11,1.021633349
15 kDa selenoprotein,0.293126661
0610031J06Rik,0.810456652
1700112E06Rik,0.667990001
2310022A10Rik,1.533216778
2410018M08Rik;Chchd2,0
2810422J05Rik;Uba52;Ubc;Ubb,0.800819999
4632428N05Rik,1.615566694
4732456N10Rik,0
5031439G07Rik,1.329690226
9030624J02Rik,0.870819989
Aak1,1.071213347
Abca3,0.618983346
Abcb11,0.841666692
Abcb1b,1.970300211
Abcb6,0.60729672
Abcc1,2.033400133
Abcc3,0
Abcd1,0.475883327
Abcd3,0.455680003
Abcd4,0.772569998
Abcf2,0.915666685
Abhd12,0.760496649
Abi1,1.105930034
Abr,0.811416634
Acaa1a;Acaa1b,0.732046661
Acaa2,0.597539992
Acadl,0.814423361
Acadm,1.323139874
Acads,0.969656673
Acadvl,0.446966651
Acap2,1.380903328
Acat1,0.989920006
Acbd3,0
Aco2,0.91410336
Acot13,0
Acox3,0.786923316
Acp2,0.58500335
Acp5,0.614966701
Acsl1,0
Acsl4,1.154733348
Acsl5,0.82435334
Actc1;Acta1;Acta2;Actg2,1.711233338
Actn1,0.335076713
Actn4,0.853486667
Actr1a;Actr1b,0.131950022
Actr2,1.540400041
Actr3,1.485266643
Adam10,1.565933367
Adam17,1.329600043
Adam8,1.25773332
Adam9,1.464966646
Adcy7,1.405466326
Aga,0.5714133
Agfg1,0.471933307
Agfg2,1.257466619
Agps,0.657949989
Agtrap,0.696689995
Ahnak,1.710166642
Ahnak2,1.011666656
Ahnak2F7CVJ5,1.093899962
Ahnak2E9PYB0,1.075733351
Ahsa1,1.215933309
AI607873,0.794266699
Aif1,0
Aifm1,0.374566687
Aifm2,1.253633306
Akap10,1.018890012
Akr1a1,0
Akr1b1;Akr1b3,1.066303337
Alcam,2.332700027
Aldh2,0.803953343
Aldh3a2,0.785949993
Aldh3b1,1.311399984
Aldh9a1,0
Aldoa;Aldoart1,1.15153331
Alg2,0
Alg5,0
Alox5,1.064873365
Alox5ap,0.750796647
Alyref;Alyref2;Refbp2,0.348099988
Ankfy1,1.117763313
Ankh,1.000163323
Anln,0.424466646
Ano6,0.481333319
Anp32b,1.097166644
Anpep,1.745999969
Antxr2,2.080299772
Anxa1,1.476633367
Anxa11,1.67556658
Anxa2,1.279400001
Anxa3,1.042596717
Anxa4,1.874399814
Anxa5,1.202413338
Anxa6,1.156470041
Anxa6P14824,1.259573351
Anxa7,1.692833314
Aoah,0.428620042
Ap1b1,1.035750014
Ap1g1,0.58028335
Ap1g2,0
Ap1m1,0.588043318
Ap1s1,0.253739987
Ap1s2,0.808483343
Ap2a1,1.929933197
Ap2a2,1.985299982
Ap2b1,1.611600018
Ap2m1,1.870266808
Ap2s1,2.159866749
Ap3b1,0.667156676
Ap3d1,0.550473399
Ap3m1,0.594203347
Ap3s1,0.534543287
Ap3s2,0.635266655
Aph1a,0.551569996
Apmap,0.257966655
Apoa1bp,0
Apob,0.818103341
Apobr,1.41646655
Apoe,0.681016673
App,0.770533324
Apr3;0610007C21Rik,0.226809991
Araf,1.602400026
Arap1,0.260499986
Arf3;Arf1,1.699606602
Arf5,0.453249975
Arf6,1.003136742
Arfgap1,0
Arfgap2,1.343099972
Arfgap3,1.537410046
Arfip1,0
Arfrp1,0
Arhgap1,0
Arhgap17,1.023103359
Arhgap22,1.131596683
Arhgap25,1.925066976
Arhgap30,1.652566655
Arhgap4,0
Arhgap9,0
Arhgdia,0.95141001
Arhgdib,1.049416639
Arhgef1,1.10184002
Arhgef10l,0
Arhgef2,1.191510014
Arhgef7,1.10843668
Arl1,0.724999978
Arl4c,0.824633337
Arl6ip5,1.041613331
Arl8a,0.539316692
Arl8b,0.779866685
Armc10,0
Arpc1b,1.599233365
Arpc2,1.360266628
Arpc3,1.831766918
Arpc4,1.523233402
Arpc5,1.459266718
Arpp19,0.550389969
Arrb2,1.206550032
Arsa,0.614626699
Arsb,0.767493334
Arsk,0.648943308
Asah1,0.638946693
Asah2,0.761320004
Asph,0.944713309
Ass1,1.908633166
Atad1,0
Atl3,1.009773296
Atp11a,0.939373365
Atp11c,1.72146664
Atp13a2,0.621486627
Atp1a1,2.461699953
Atp1a3,2.212133437
Atp1b3,2.670900012
Atp2a2,0.740626666
Atp2a3,0.155939952
Atp2b1,2.209833479
Atp2b3,1.437633417
