Gene names,2015 Dill LPS Late
Septin-2,1.059709971
Septin-7,0.907940021
Septin-8,1.196416608
Septin-9,0.87678002
Septin-11,0.783909995
15 kDa selenoprotein,0.624059988
0610031J06Rik,1.753333372
1700112E06Rik,1.18136998
2310022A10Rik,0.774933352
2410018M08Rik;Chchd2,0
2810422J05Rik;Uba52;Ubc;Ubb,0.499913303
4632428N05Rik,0.453403396
4732456N10Rik,0.953366938
5031439G07Rik,0.916966671
9030624J02Rik,0.654070003
Aak1,0.379429973
Abca3,1.139933339
Abcb11,0.736783313
Abcb1b,0.420683322
Abcb6,1.18390002
Abcc1,0.53273333
Abcc3,0
Abcd1,0.619293395
Abcd3,0.373096686
Abcd4,1.20273332
Abcf2,0
Abhd12,0.867080018
Abi1,0.901230002
Abr,0.416163306
Acaa1a;Acaa1b,0.675319953
Acaa2,0.722420001
Acadl,1.436603311
Acadm,0.614589989
Acads,0.691443317
Acadvl,0
Acap2,0.701446674
Acat1,0.702076668
Acbd3,0
Aco2,0.689833339
Acot13,0.312289992
Acox3,0.612653333
Acp2,1.397433347
Acp5,1.143756658
Acsl1,0.237986674
Acsl4,1.026396691
Acsl5,1.164029962
Actc1;Acta1;Acta2;Actg2,1.235299992
Actn1,0.557443282
Actn4,1.104116666
Actr1a;Actr1b,0.340133349
Actr2,0.990519995
Actr3,1.191899994
Adam10,0.829539989
Adam17,0.785420031
Adam8,0.478706689
Adam9,0.521249982
Adcy7,0
Aga,0.597256722
Agfg1,1.333533331
Agfg2,1.047546681
Agps,0.686569995
Agtrap,1.372366676
Ahnak,0.874909986
Ahnak2,1.797600232
Ahnak2F7CVJ5,1.371833357
Ahnak2E9PYB0,1.66306663
Ahsa1,1.101896694
AI607873,1.599666842
Aif1,0.326183339
Aifm1,0.710856659
Aifm2,0.997263344
Akap10,0.875156662
Akr1a1,0
Akr1b1;Akr1b3,0.944199998
Alcam,0.543150001
Aldh2,0.699923325
Aldh3a2,1.038723346
Aldh3b1,0.769859992
Aldh9a1,0.793856676
Aldoa;Aldoart1,1.059659985
Alg2,0
Alg5,0.37393331
Alox5,0.635283312
Alox5ap,0.886756659
Alyref;Alyref2;Refbp2,0.619626635
Ankfy1,1.165366701
Ankh,0.905493329
Anln,2.202613748
Ano6,0
Anp32b,0.269173315
Anpep,0.52395001
Antxr2,0.501183331
Anxa1,1.005143311
Anxa11,0.78815999
Anxa2,0.980200013
Anxa3,0.623769982
Anxa4,1.039156649
Anxa5,2.294066333
Anxa6,0.808486663
Anxa6P14824,0.775313311
Anxa7,1.350926774
Aoah,1.234353318
Ap1b1,1.376633319
Ap1g1,0.808516687
Ap1g2,0.746449996
Ap1m1,1.315766638
Ap1s1,1.391633334
Ap1s2,1.613599976
Ap2a1,0.999516639
Ap2a2,1.195933336
Ap2b1,1.229800004
Ap2m1,0.758866669
Ap2s1,1.556600012
Ap3b1,1.186133299
Ap3d1,0.871020017
Ap3m1,1.471300003
Ap3s1,1.397833359
Ap3s2,1.082176661
Aph1a,0.690763348
Apmap,1.235599966
Apoa1bp,0.275659992
Apob,1.06718667
Apobr,0.782549989
Apoe,0.861446686
App,0.574246637
Apr3;0610007C21Rik,0.956133305
Araf,1.429533278
Arap1,0.935863327
Arf3;Arf1,1.280199944
Arf5,0.347300013
Arf6,1.739100204
Arfgap1,0.673663358
Arfgap2,1.074499997
Arfgap3,0.99484002
Arfip1,1.691099847
Arfrp1,0.643560049
Arhgap1,0.857876662
Arhgap17,0.921376652
Arhgap22,0.854133361
Arhgap25,1.054370005
Arhgap30,0.969033327
Arhgap4,0.224566666
Arhgap9,0.887569984
Arhgdia,1.031496682
Arhgdib,1.345413309
Arhgef1,1.154766684
Arhgef10l,0.547699997
Arhgef2,0.808886664
Arhgef7,0.978
Arl1,0.707623343
Arl4c,0.591869983
Arl6ip5,1.19180005
Arl8a,1.439033371
Arl8b,1.940366438
Armc10,0
Arpc1b,0.986596676
Arpc2,1.039333335
Arpc3,1.445199988
Arpc4,1.141199962
Arpc5,0.949530011
Arpp19,2.081099786
Arrb2,0.943896706
Arsa,0.83487997
Arsb,0.971366633
Arsk,0.814973343
Asah1,1.619333375
Asah2,0.852836662
Asph,1.135556678
Ass1,0.311827984
Atad1,0
Atl3,1.091333337
Atp11a,1.192166683
Atp11c,0.813693328
Atp13a2,1.534566721
Atp1a1,0.633196667
Atp1a3,0.57208666
Atp1b3,0.654806688
Atp2a2,1.084533328
Atp2a3,0.495299991
Atp2b1,0.665900017
Atp2b3,0.540473333
Atp5a1,0.895163322
Atp5b,0.872259998
Atp5c1,0.864526657
Atp5d,0.377299972
Atp5f1,0.826559974
Atp5h;Gm10250,0.776826701
Atp5i;Atp5k,0.819713358
Atp5j,1.122233355
Atp5j2,0.501659986
Atp5l;Atp5l-ps1,0.629423331
Atp5o,0.896180008
Atp6ap1,1.011830037
Atp6ap2,1.156953328
Atp6v0a1,0.841989992
Atp6v0c,1.190916686
Atp6v0d1,1.200266642
Atp6v0d2,1.459000118
Atp6v1a,1.711033263
Atp6v1b2,1.647099993
Atp6v1c1,1.291533308
Atp6v1d,1.290433325
Atp6v1e1,1.970333247
Atp6v1f,1.281800006
Atp6v1g1,2.594400393
Atp6v1h,1.503799974
Atp8a1,1.25500004
Atp9b,0.831080007
Atpif1,1.105516677
Atrn,0.65747998
Atxn2l,0
Aup1,0.203119999
B2m,0.925693315
B4galnt1,0.717660014
B4galt1,0.623313345
Bag3,0.957333347
Bak1,0.263073329
Banf1,0.706579972
Basp1,1.210466708
Bax,0.833223343
BC017647,0.295593296
Bcap31,1.096066644
Bcat2,0
Bcl7b,0
Bclaf1,0.673826684
Becn1,0.962039984
Bin1,0
Bin2,0.969420006
Birc6,0.325806658
Blmh,0.652553309
Blnk,1.38123333
Bloc1s1,1.717266717
Blvrb,0.899399997
Bmp2k,0.292663331
Bola1,0
Bphl,1.10939666
Bri3,1.24953327
Bst1,0
Bst2,0.810016686
Btd,0.324376662
Btf3,1.32229999
C1qa,0
C1qb,1.196073382
C1qbp,0.569843331
C1qc,1.332999968
C3,0.393566655
C3ar1,0.441403332
C5ar1,0.584743339
Cab39,0.525833326
Cacybp,0
Cadm1,0.829326652
Calm1;Calml3,0.385566662
Calr,1.119533322
Calu,0.744453322
Camk2d,0.311160007
Canx,0.982996675
Cap1,1.016516685
Capg,1.452886689
Capn1,0.85980335
Capn2,1.174933367
Capn5,0.538933341
Capns1,1.105156675
Caprin1,0.911199987
Capza1,1.016173327
Capza2,1.005843334
Capzb,1.033693325
Cast,0.920773325
Cat,0.496526725
Cbl,1.35575332
Cbr2,0.866703335
Cbx3,1.059763375
Cc2d1b,1.32963
Ccdc115,1.305366671
Ccdc12,2.339700355
Ccdc22,0.988443331
Ccdc50,0.235230021
Ccdc53,0.589936668
Ccdc75,1.423890014
Ccdc88b,0
Ccdc93,0.965030015
Cct2,1.148989995
Cct3,1.097966665
Cct4,0.42293334
Cct5,0.963876689
Cct6a,0.744300021
Cct7,1.018316626
Cct8,0.505193317
Ccz1,1.309866634
Cd14,0.62729335
Cd151,0.310930046
Cd180,1.355999982
Cd1d1;Cd1d2,1.140400017
Cd200r1,0.251423357
Cd2ap,0.40646668
Cd300a,0.390416642
Cd300lh;OTTMUSG00000003606,0.47651667
Cd36,0.97540335
Cd44,0.641806651
Cd47,0.635900008
Cd48,0.481686662
Cd5l,0.582613313
Cd63,0.700746678
Cd68,1.242170011
Cd72,0.583183305
Cd74,0.906900021
Cd81,0.315896642
Cd82,0.50359669
Cd84,0.521106667
Cd9,0.670006628
Cd93,0.757910028
Cdc42,1.194600001
Cdc42bpb,0
Cdc42ep4,0.912113337
Cdca3,1.356659834
Cdipt,1.251666534
Cdk1,1.022189997
Cdk14,0.368199992
Cdk18,1.019983325
Cdk2;Cdk3,1.2229333
Cdk5,1.89029972
Cdkn1b,0
Cds2,0.610913329
Cenpe,0.177773341
Cep41;Tsga14,0.431466663
Cep55,1.07175998
Cers2;Lass2,0.643466676
Cfl1,1.098400009
Cfp,0.576243315
Chchd3,0.782256661
Chd4,0.440366674
Chd6,0
Chi3l3,0.867783351
Chi3l4,0.555576684
Chmp1a,1.290966679
Chmp2a,1.535566417
Chmp2b,1.650933362
Chmp4b,1.555666697
Chmp5,1.221789971
Chmp6,1.53933334
Cisd1,0
Cisd2,0.89213
Ckap4,1.081096666
Ckap5,0.629193338
Ckb,1.138333365
Clcn5,0.550100001
Clcn6,0
Clcn7,1.14303336
Clec10a;Mgl1;Mgl2,0.471956631
Clec12a,0.619953346
Clec4e,0
Clic1,1.171219994
Clint1,0.896313312
Cln3,1.551399968
Cln5,1.481533317
Clptm1,1.187066682
Clrn2,0.482376667
Clta,1.50370002
Cltc,1.119599963
Cmtm6,0.326650003
Cndp2,1.375066644
Cnn2,1.543100116
Cnot4,0
Cnp,1.1595
Cnpy2,0.789066659
Cnpy3,0.858293325
Cnpy4,0.265930069
Col4a4,0.434253337
Col6a3,0
Colec12,0.212956667
Commd1,1.140896645
Commd10,1.056406678
Commd2,1.001580015
Commd3,0.972876654
Commd4,0.861956661
Commd5,0.889686672
Commd6,1.07510332
Commd7,0.944030015
Commd8,1.034553357
Commd9,1.18722334
Comt,1.668710102
Copb2,0.969096698
Coro1a,1.136400021
Coro1c,0.592576693
Coro2a,0.518929991
Cotl1,1.14428332
Cox4i1,0.82504335
Cox4nb,1.078623325
Cox5a,0.929459994
Cox5b,1.008893313
Cox6a1,0.820813336
Cox6b1,0.990459993
Cox6c,0.876113357
Cox7a2,0.827836655
Cox7c,0.908243311
Cpd,1.453900022
Cpne1,0.671246693
Cpne2,0.898503347
Cpne3,0.41144338
Cpq,1.079666651
Cpt1a,0.564656678
Cr1l,0.396236625
Creg1,0.924083354
Crip1,1.718833152
Cs,0.573356623
Csf1,0.378600002
Csf1r,0.346380017
Csf2ra,0
Csk,0
Csnk1a1,0.761979986
Csnk1g3,0.187856677
Csnk2b,0
Csrp1,1.351533352
Cst3,0.397749949
Cst7,0
Cstb,1.58639998
Ctbs,1.003389968
Ctdsp1,1.24405003
Ctnnd1,0.827440018
Ctsa,0.997843333
Ctsb,0.97052003
Ctsc,0.976083313
Ctsd,1.474866676
Ctsf,1.538166641
Ctsh,1.143750002
Ctsl1,1.059686708
Ctso,0
Ctss,0.840586661
Ctsz,0.838233332
Cttnbp2nl,1.002183327
Cuedc2,0.43692338
Cux1,0
Cwc15,1.654133314
Cxcl2,0
Cyb5a;Cyb5,1.220000002
Cyb5b,1.027020012
Cyb5r3,0.928426646
Cyba,0.877743351
Cybb,0.997253343
Cyc1,0
Cyfip1,0.791836673
Cyp20a1,1.02807336
D10Jhu81e,0.493339996
D10Wsu52e,0.902199974
D17Wsu104e,1.162683326
Dab2,1.022760025
Dad1,1.256166636
Daglb,1.063896662
Dars,0
Dbi,0.680560026
Dbr1,1.081189989
Ddb1,0
Ddost,1.42823333
Ddrgk1,0
Ddx1,0.55117001
Ddx39b;Ddx39a,1.348733315
Ddx3x;D1Pas1,0.837766657
Ddx3y,0.309036693
Ddx42,1.060753328
Ddx46,1.200923294
Ddx5,1.067920005
Decr1,0
Degs1,0.78541
Dek,0.643966658
Dennd1a,1.018000014
Dhrs1,1.165916626
Dhrs4,0.216973326
Dhrs7,1.192766651
Dhx15,0.893506653
Dhx9,0
Diap1;Diaph1,0.753540025
Diap2;Diaph2,1.093836675
Dirc2,1.267966683
Dlat,0.372506678
Dld,0.737906679
Dlst,0.791750018
Dmxl1,1.145866664
Dnaja1,0.827549992
Dnaja2,0.911066624
Dnajb11,1.161399969
Dnajb6,0.895613332
Dnajc13,0.412823372
Dnajc3,1.152596631
Dnajc5,1.225823311
Dnajc8,1.076573319
Dnajc9,0.813903314
Dnase1l1,0.47218674
Dnase2;Dnase2a,1.070123356
Dnm2,0.806600013
Dnm3,0
Dock2,0.80090669
Dock8,0.364133328
Dok1,0.902733321
Dok2,1.037466611
Dok3,1.004366699
Dpep2,0
Dpm1,1.216600032
Dpp7,1.015980018
Dpysl2,1.069350014
Dram1,1.241700006
Dram2,0.847699967
Drg1,0
Dscr3,1.10988334
Dstyk,0.839733321
Dtx3l,0.252386666
