Gene names,2015 Dill Mannan Early
Septin-2,1.008619978
Septin-7,0.970550007
Septin-8,0.761603317
Septin-9,0.923366659
Septin-11,0.937736693
15 kDa selenoprotein,0
0610031J06Rik,0.756556654
1700112E06Rik,0.712816682
2310022A10Rik,0.429269999
2410018M08Rik;Chchd2,0
2810422J05Rik;Uba52;Ubc;Ubb,0.666296701
4632428N05Rik,1.310533353
4732456N10Rik,1.018400123
5031439G07Rik,0.863173354
9030624J02Rik,0.78145334
Aak1,0.662669991
Abca3,0.734196655
Abcb11,0.688906678
Abcb1b,1.51749997
Abcb6,0.689843339
Abcc1,1.503133381
Abcc3,0.403199988
Abcd1,0.584513334
Abcd3,0.417846656
Abcd4,0.50033666
Abcf2,0.412233341
Abhd12,0.812860012
Abi1,0.965396665
Abr,1.35343337
Acaa1a;Acaa1b,0.863669981
Acaa2,0.752220044
Acadl,0.640616671
Acadm,0.705186686
Acads,1.253033373
Acadvl,0.263863335
Acap2,1.463000016
Acat1,0.707829943
Acbd3,0
Aco2,0.67426001
Acot13,0.217956661
Acox3,0.859253332
Acp2,0.592240012
Acp5,0.453799995
Acsl1,0
Acsl4,1.224000005
Acsl5,0.916173296
Actc1;Acta1;Acta2;Actg2,1.397359985
Actn1,0.314089994
Actn4,0.928883327
Actr1a;Actr1b,0.354633333
Actr2,1.318333319
Actr3,1.254366691
Adam10,1.184433354
Adam17,1.15103334
Adam8,1.281083329
Adam9,1.143236663
Adcy7,0.859199987
Aga,0.993426617
Agfg1,0.983933345
Agfg2,1.49573332
Agps,0.748613347
Agtrap,0.719443332
Ahnak,1.635200019
Ahnak2,0.951373307
Ahnak2F7CVJ5,1.133549988
Ahnak2E9PYB0,1.027459989
Ahsa1,1.296566709
AI607873,1.228319958
Aif1,0
Aifm1,0.407233316
Aifm2,1.243316616
Akap10,0.476579998
Akr1a1,0.670559991
Akr1b1;Akr1b3,3.596800995
Alcam,1.754800053
Aldh2,0.594096621
Aldh3a2,0.694746665
Aldh3b1,1.205299942
Aldh9a1,0.32702001
Aldoa;Aldoart1,1.018066645
Alg2,0
Alg5,0
Alox5,0.920163361
Alox5ap,0.564836691
Alyref;Alyref2;Refbp2,0.712566468
Ankfy1,0.944043341
Ankh,0.714746655
Anln,0
Ano6,0.706140024
Anp32b,2.737967156
Anpep,1.511333307
Antxr2,1.136633377
Anxa1,1.144096685
Anxa11,1.311933317
Anxa2,0.978200006
Anxa3,1.012606644
Anxa4,1.610473485
Anxa5,1.430303069
Anxa6,1.344699991
Anxa6P14824,1.291919949
Anxa7,1.097233308
Aoah,0.533256625
Ap1b1,1.095873351
Ap1g1,0.807799999
Ap1g2,0
Ap1m1,0.859940001
Ap1s1,1.012513328
Ap1s2,0.718576644
Ap2a1,1.497200032
Ap2a2,1.523033334
Ap2b1,1.40313336
Ap2m1,1.529266604
Ap2s1,1.504633311
Ap3b1,0.799783321
Ap3d1,0.703059984
Ap3m1,0.702309991
Ap3s1,0.669036667
Ap3s2,0.511999994
Aph1a,0.540613331
Apmap,0.709369998
Apoa1bp,0.270919999
Apob,0.468836662
Apobr,0.88042998
Apoe,0.542093326
App,1.139289976
Apr3;0610007C21Rik,0.360623343
Araf,1.170333346
Arap1,0.842500004
Arf3;Arf1,1.580833369
Arf5,0.465090059
Arf6,1.071799983
Arfgap1,0
Arfgap2,1.12961663
Arfgap3,0.749713335
Arfip1,0
Arfrp1,0.376233339
Arhgap1,0.539963351
Arhgap17,1.08294331
Arhgap22,0.31654334
Arhgap25,0.722776664
Arhgap30,1.126033312
Arhgap4,0
Arhgap9,0
Arhgdia,0.734710002
Arhgdib,0.807023358
Arhgef1,0.871586657
Arhgef10l,0.398399985
Arhgef2,1.401833327
Arhgef7,0.678773301
Arl1,0.924693354
Arl4c,0.558059985
Arl6ip5,0.828593323
Arl8a,0.577213288
Arl8b,0.941773294
Armc10,0
Arpc1b,1.178023336
Arpc2,1.125100028
Arpc3,1.200599974
Arpc4,1.181949997
Arpc5,1.264999994
Arpp19,0.686076666
Arrb2,1.045433338
Arsa,0.64767999
Arsb,0.800449988
Arsk,0.75067333
Asah1,0.656586673
Asah2,0.916029976
Asph,0.870790007
Ass1,1.257100035
Atad1,0
Atl3,1.026333337
Atp11a,0.759596662
Atp11c,1.251533346
Atp13a2,0.663179981
Atp1a1,1.847233055
Atp1a3,1.696266768
Atp1b3,1.8458998
Atp2a2,0.86249334
Atp2a3,0
Atp2b1,1.799566617
Atp2b3,1.107766695
