Gene names,2015 Dill Mannan Late
Septin-2,0.862316669
Septin-7,0.828509985
Septin-8,1.069066634
Septin-9,0.863983332
Septin-11,0.731073336
15 kDa selenoprotein,0.616376663
0610031J06Rik,1.708866661
1700112E06Rik,1.242923362
2310022A10Rik,0.28895333
2410018M08Rik;Chchd2,0.873016681
2810422J05Rik;Uba52;Ubc;Ubb,0.594789966
4632428N05Rik,0.392103321
4732456N10Rik,2.893600551
5031439G07Rik,0.553829956
9030624J02Rik,0.593870046
Aak1,0.839896711
Abca3,1.115666667
Abcb11,0.768646706
Abcb1b,0.732876639
Abcb6,1.258600036
Abcc1,0.575893312
Abcc3,0
Abcd1,0.283443355
Abcd3,0.394750002
Abcd4,1.402866628
Abcf2,0.730853337
Abhd12,0.70060663
Abi1,1.073406691
Abr,0.40493002
Acaa1a;Acaa1b,0.48149004
Acaa2,0.593009953
Acadl,0.577239997
Acadm,0.630753332
Acads,0.431839998
Acadvl,0.323986669
Acap2,0.873060001
Acat1,0.580530004
Acbd3,0
Aco2,0.683096644
Acot13,0
Acox3,0.535883355
Acp2,1.67546666
Acp5,0.652523358
Acsl1,0
Acsl4,0.965540011
Acsl5,0.845759991
Actc1;Acta1;Acta2;Actg2,0.824110019
Actn1,0.943153339
Actn4,1.141366696
Actr1a;Actr1b,0
Actr2,1.134156663
Actr3,1.072710017
Adam10,0.913336663
Adam17,0.696036666
Adam8,0.369269971
Adam9,0.628463304
Adcy7,0.237963334
Aga,0.594643337
Agfg1,1.503279902
Agfg2,0.638066683
Agps,0.475263265
Agtrap,0.927600009
Ahnak,0.922573333
Ahnak2,2.212733224
Ahnak2F7CVJ5,1.606233343
Ahnak2E9PYB0,1.900933317
Ahsa1,0.628926673
AI607873,1.166666674
Aif1,0.333933314
Aifm1,0.881999962
Aifm2,0.710706633
Akap10,0.993820007
Akr1a1,0.72564665
Akr1b1;Akr1b3,1.028836664
Alcam,0.592186704
Aldh2,0.557113294
Aldh3a2,0.932879975
Aldh3b1,0.809306664
Aldh9a1,0.242263338
Aldoa;Aldoart1,1.08289996
Alg2,0.887933355
Alg5,0.766066638
Alox5,0.47723995
Alox5ap,0.862106697
Alyref;Alyref2;Refbp2,0.276926668
Ankfy1,1.111873336
Ankh,0.321190001
Anln,0.939033479
Ano6,0
Anp32b,0
Anpep,0.585659988
Antxr2,0.300913325
Anxa1,0.793823341
Anxa11,1.309776702
Anxa2,0.917183339
Anxa3,1.017749959
Anxa4,1.07282996
Anxa5,4.58107296
Anxa6,0.698219943
Anxa6P14824,0.606073315
Anxa7,1.513776658
Aoah,1.131599982
Ap1b1,1.547300008
Ap1g1,0.901703335
Ap1g2,0
Ap1m1,1.273633338
Ap1s1,1.421326686
Ap1s2,1.463099982
Ap2a1,0.832383322
Ap2a2,0.93476668
Ap2b1,1.066423325
Ap2m1,0.525330007
Ap2s1,1.118886691
Ap3b1,1.074843316
Ap3d1,0.718280003
Ap3m1,1.59336664
Ap3s1,1.656566688
Ap3s2,1.266693344
Aph1a,0.771869994
Apmap,0.963173292
Apoa1bp,0.208290002
Apob,0.754183362
Apobr,0.816783328
Apoe,0.868773341
App,0.451396646
Apr3;0610007C21Rik,1.533899956
Araf,0.728073403
Arap1,0.730350021
Arf3;Arf1,1.33540335
Arf5,0.833389988
Arf6,1.423166626
Arfgap1,0
Arfgap2,1.345953527
Arfgap3,0.299036667
Arfip1,0
Arfrp1,0.284570003
Arhgap1,0.247353342
Arhgap17,0.854473359
Arhgap22,0
Arhgap25,0.700210025
Arhgap30,0.900433343
Arhgap4,0
Arhgap9,0.783466503
Arhgdia,0.685360006
Arhgdib,1.327399989
Arhgef1,0.878406627
Arhgef10l,0.774323322
Arhgef2,0.822440001
Arhgef7,0.399776654
Arl1,0.48895
Arl4c,0.729533359
Arl6ip5,0.815493363
Arl8a,1.278500019
Arl8b,1.826400055
Armc10,0
Arpc1b,1.039123323
Arpc2,0.904883371
Arpc3,1.560200015
Arpc4,1.408566707
Arpc5,0.970940012
Arpp19,2.362533862
Arrb2,0.772096679
Arsa,0.994609993
Arsb,1.062603347
Arsk,1.099766663
Asah1,1.384000023
Asah2,0.634676646
Asph,1.03258671
Ass1,0.563563297
Atad1,0
Atl3,0.990006644
Atp11a,1.219266681
Atp11c,0.366133326
Atp13a2,1.453400024
Atp1a1,0.59834666
