Gene names,2015 Dill Phosphatidylserine Early
Septin-2,0.928306663
Septin-7,0.942380018
Septin-8,0.722619986
Septin-9,0.978463324
Septin-11,0.926146639
15 kDa selenoprotein,0
0610031J06Rik,0.888466656
1700112E06Rik,0.84596001
2310022A10Rik,0.169310001
2410018M08Rik;Chchd2,0
2810422J05Rik;Uba52;Ubc;Ubb,0.931853341
4632428N05Rik,1.6458333
4732456N10Rik,0
5031439G07Rik,0.750356651
9030624J02Rik,0.819413346
Aak1,0.449433322
Abca3,0.67788
Abcb11,0.506063327
Abcb1b,1.240599988
Abcb6,0.643690019
Abcc1,1.29693332
Abcc3,0.400033326
Abcd1,0.532436643
Abcd3,0.415226636
Abcd4,0.518033342
Abcf2,0
Abhd12,0.576519998
Abi1,0.835133338
Abr,0.700780034
Acaa1a;Acaa1b,0.71473668
Acaa2,0.588216703
Acadl,0.621903325
Acadm,0.471133337
Acads,0.514983324
Acadvl,0
Acap2,1.22889995
Acat1,0.735413328
Acbd3,0
Aco2,0.64582331
Acot13,0.292633329
Acox3,0.828213303
Acp2,0.713363327
Acp5,0.706749998
Acsl1,0
Acsl4,1.173699998
Acsl5,0.305423336
Actc1;Acta1;Acta2;Actg2,1.710966609
Actn1,0.414923379
Actn4,0.881943326
Actr1a;Actr1b,0.463933361
Actr2,1.32093333
Actr3,1.424066649
Adam10,1.467733334
Adam17,0.966579993
Adam8,1.52226668
Adam9,1.234699994
Adcy7,0.930799989
Aga,0.769986728
Agfg1,0.964376651
Agfg2,1.394766703
Agps,0.722983323
Agtrap,0.84148665
Ahnak,1.639733274
Ahnak2,1.354833338
Ahnak2F7CVJ5,1.259999996
Ahnak2E9PYB0,1.386433302
Ahsa1,1.273066717
AI607873,1.135066706
Aif1,0
Aifm1,0.302736661
Aifm2,1.280600001
Akap10,0.786500013
Akr1a1,0.657523307
Akr1b1;Akr1b3,0
Alcam,1.6869
Aldh2,0.577080052
Aldh3a2,0.615243327
Aldh3b1,1.438933333
Aldh9a1,0.265850005
Aldoa;Aldoart1,1.259799994
Alg2,0
Alg5,0
Alox5,0.868113343
Alox5ap,0.776260024
Alyref;Alyref2;Refbp2,0
Ankfy1,1.132623315
Ankh,1.314266691
Anln,0
Ano6,0
Anp32b,0.248966666
Anpep,1.519066695
Antxr2,0.988633352
Anxa1,1.305433326
Anxa11,2.723733634
Anxa2,0.864520006
Anxa3,2.211066618
Anxa4,1.827466623
Anxa5,1.825600126
Anxa6,1.442970013
Anxa6P14824,1.226953352
Anxa7,1.662099992
Aoah,0.568930033
Ap1b1,1.05957664
Ap1g1,0.615800009
Ap1g2,0.295553334
Ap1m1,0.851013345
Ap1s1,0.970066674
Ap1s2,0.906446663
Ap2a1,1.148566659
Ap2a2,1.15789999
Ap2b1,1.195409992
Ap2m1,0.891956682
Ap2s1,1.268013343
Ap3b1,0.66844669
Ap3d1,0.457963332
Ap3m1,0.703536663
Ap3s1,0.688726662
Ap3s2,0.389186658
Aph1a,0.582303353
Apmap,0.598069993
Apoa1bp,0.486916673
Apob,0.919266697
Apobr,0.981586678
Apoe,0.604429982
App,1.343066721
Apr3;0610007C21Rik,0.609836686
Araf,1.433333318
Arap1,0.783883326
Arf3;Arf1,1.608766566
Arf5,0.788190015
Arf6,1.143523375
Arfgap1,0
Arfgap2,1.124033346
Arfgap3,0.489733331
Arfip1,1.548233325
Arfrp1,0.305206671
Arhgap1,0
