Gene names,2015 Dill Phosphatidylserine Late
Septin-2,0.910269997
Septin-7,0.820236702
Septin-8,1.215483376
Septin-9,0.805693312
Septin-11,0.65454001
15 kDa selenoprotein,0
0610031J06Rik,1.70866672
1700112E06Rik,1.500133315
2310022A10Rik,0
2410018M08Rik;Chchd2,0
2810422J05Rik;Uba52;Ubc;Ubb,0.571303317
4632428N05Rik,0.502260008
4732456N10Rik,0.828933055
5031439G07Rik,0.793756658
9030624J02Rik,0.651079997
Aak1,0.613923299
Abca3,0.917130011
Abcb11,0.372933344
Abcb1b,0.769880007
Abcb6,0.955616645
Abcc1,0.520906738
Abcc3,0
Abcd1,0.319723304
Abcd3,0.254603322
Abcd4,0.924019995
Abcf2,0.252683348
Abhd12,0.811509974
Abi1,0.599590011
Abr,0.376376668
Acaa1a;Acaa1b,0.616499983
Acaa2,1.081163354
Acadl,0.588579995
Acadm,0.842663345
Acads,0.548313346
Acadvl,0.433700015
Acap2,0.741226658
Acat1,0.581753344
Acbd3,0
Aco2,0.627870001
Acot13,0.16784334
Acox3,0.681010009
Acp2,1.549600012
Acp5,0.295303324
Acsl1,0
Acsl4,0.858410017
Acsl5,1.00217999
Actc1;Acta1;Acta2;Actg2,0.771896661
Actn1,0.68300001
Actn4,0.813393333
Actr1a;Actr1b,0
Actr2,0.935093314
Actr3,1.057913314
Adam10,0.781616663
Adam17,0.568163325
Adam8,0.662420008
Adam9,0.642630032
Adcy7,0
Aga,0.991706653
Agfg1,1.256266647
Agfg2,0.570679948
Agps,0.663943361
Agtrap,0.89286667
Ahnak,0.979770023
Ahnak2,2.042899964
Ahnak2F7CVJ5,1.611766699
Ahnak2E9PYB0,1.608966621
Ahsa1,1.483066686
AI607873,2.007399972
Aif1,0
Aifm1,1.235066717
Aifm2,0.69396002
Akap10,0.835499987
Akr1a1,0.305969998
Akr1b1;Akr1b3,1.090766696
Alcam,0.617556634
Aldh2,0.56854998
Aldh3a2,1.068946646
Aldh3b1,0.953516655
Aldh9a1,0.200533337
Aldoa;Aldoart1,0.989483338
Alg2,0.272666676
Alg5,1.012933322
Alox5,0.557960038
Alox5ap,0.784910016
Alyref;Alyref2;Refbp2,0.276489998
Ankfy1,1.051996679
Ankh,0.093613311
Anln,0.122953312
Ano6,0
Anp32b,0
Anpep,0.633143324
Antxr2,0.298443347
Anxa1,0.832983335
Anxa11,1.725366751
Anxa2,0.822649997
Anxa3,1.741266341
Anxa4,1.551733372
Anxa5,5.177600796
Anxa6,1.370689719
Anxa6P14824,1.491726545
Anxa7,2.274466621
Aoah,1.744899978
Ap1b1,1.481899964
Ap1g1,1.007543319
Ap1g2,0.113656689
Ap1m1,1.378333338
Ap1s1,1.460399975
Ap1s2,1.54996667
Ap2a1,0.84865666
